प्रसिद्ध,Famous
सहज,Spontaneous
झील,The lake
नाच,Dance
धीरे,Slow
सीमित,Limited
रूपों,Forms
प्रतिक्रियाओं,Reactions
लिंडसे,Lindsay
Wagner,Wagner
उत्साही,Enthusiastic
लेफ्टिनेंट,Lieutenant
Coburn,Coburn
कैदी,The prisoner
सहायता,help
paced,paced
करेन,Karen
छीन,Snatch
बालक,Boy
फुटेज,Footage
समीक्षा,Analysis
सुधार,improvement
Gigi,Gigi
पश्चिम,West
निष्पक्ष,Unbiased
लाजवाब,Wonderful
सीमाओं,Boundaries
ओलिवर,Oliver
अपार्टमेंट,Apartment
मारे,Killed
मूडी,Moody
चंचल,Agile
डोजर,Dodger
खरीद,Purchase
कोरियोग्राफी,Choreography
रोज,daily
लंदन,London
मांस,Meat
बहरहाल,Nevertheless
खजाना,Treasure
रहना,live
24,24
सीजन,The season
प्रकरण,case
डिजिटल,Digital
रिकॉर्डर,Recorder
बॉक्स,Box
बैठे,Sitting
Bauer,Bauer
हुक,Hook
झुका,Bend
आंख,The eye
बीस,Twenty
साइन,Sign
हफ्तों,Weeks
सत्रों,Sessions
लगाना,to set
सप्ताह,Week
मौसम,weather
प्रत्याशा,Anticipation
यातना,Torture
सम्मोहक,Hypnotic
घाव,wound
दरवाजे,The doors
दरवाजा,door
धन,Funds
उपजे,Yield
स्वर,Vowel
ज़ोर,Emphasis
प्रयासों,Efforts
तत्पर,Ready
प्रतिष्ठित,Reputed
ट्रेक,Trek
लाइब्रेरियन,Librarian
Kirk,Kirk
16,16
McCoy,McCoy
स्पॉक,Spok
जमे,Frozen
अतीत,Past
टोना,Sorcery
cavegirl,cavegirl
आपे,You
रॉयल,The royal
छोड़कर,Excluding
पत्तियों,Leaves
टन,Ton
उदासी,the sadness
स्वाद,Taste
बंजर,barren
भूमि,Earth
देना,give
पड़ोस,Neighborhood
हिरन,Deer
डायन,Witch
हताशा,Desperation
अलगाव,Isolation
सेटिंग्स,Settings
१,1
जाम,jam
कामयाब,Successful
कुशल,Skilled
लालची,Greedy
प्रतिनिधित्व,Representation
उत्पंन,Yield
खतरा,to risk
बचता,Survives
बिग,Big
दंडित,Punished
चीनी,sugar
आर्ट,The art
उत्सव,festival
माफ,Sorry
चले,Go away
सतह,Surface
खेद,Regret
प्रति,Per
चुके,Gone
दिली,Gentle
18,18
आंकना,Estimate
प्रेरणादायक,Inspirational
महाकाव्य,Epic
Carell,Carell
दिखाएं,Show
वर्जिन,Virgin
ताकत,Strength
कैपिटल,Capital
एंडी,Andy
मध्यम,Medium
आयु,The age
अकेला,alone
जीने,Live
कार्यकर्ताओं,The workers
कुंवारी,Bachelorette
जे,Which
रोमन,Roman
काल,period
इंसान,Human
कौमार्य,Virginity
करके,By doing
संकल्प,oath
वयस्कता,Adulthood
थोक,Bulk
भोलेपन,Naivety
सकल,gross
कच्चे,Raw
रोलिंग,Rolling
अशिष्ट,Indecent
झटका,The shock
दिला,Given
अद्वितीय,Unique
जानवर,animal
हवेली,Haveli
वासना,desire
भटक,Wandering
साहसी,Courageous
पाशविकता,Brutality
वर्जित,restricted
जोड़,Addition
केंद्र,center
संभाल,take care
अंतराल,Interval
भरने,Filling
Borowczyk,Borowczyk
बहादुर,Brave
खुला,Open
देंगे,Will give
आलोचनाओं,Criticisms
सींग,Horn
घोड़ा,Horse
चिह्न,Sign
कामुकता,Sexuality
टूर,Tour
बाध्य,Bound
20,20
प्रतिबंधित,Restricted
बहाना,excuse
निर्णायक,Decisive
अंतर,Difference
नियंत्रित,Controlled
नियंत्रण,Control
केंद्रीय,Central
सौंदर्य,Beauty
विषयों,Topics
वीभत्स,Voracious
आलोचना,Criticism
इर्द-गिर्द,Around
बोरिंग,Boring
सीन्स,Sines
प्रमुख,Chief
ऊपरी,Upper
स्टार्क,Stark
आवश्यकता,requirement
दा,Da
टट्टू,Pony
एक्स,X
सीरीज,Series
वापसी,Return
कैमरून,Cameroon
चुनौती,the challenge
ब्रावो,Bravo
खाई,the chasm
जिज्ञासा,Curiosity
निराश,Frustrated
जाहिरा,Apparently
मसीह,Christ
गार्ड,Guard
खस्ताहाल,Dirty
नशे,Intoxication
वांडा,Wanda
सौभाग्य,Good luck
उठाता,Raises
राष्ट्रीय,National
गरीबी,Poverty
ग्लैमरस,Glamorous
दुर्घटना,Accident
Busfield,Busfield
भुनाने,To redeem
गुणों,Qualities
Meloni,Meloni
परेड,the parade
चाय,Tea
लियोन,Leone
लिंकन,Lincoln
फोंडा,Fonda
कानून,Law
स्मार्ट,Smart
गधा,donkey
गधे,Assholes
फोर्ड,Ford
अदालत,Court
लेना,to take
ट्विस्ट,Twist
सपनों,Dreams
ज्वलंत,Vivid
ऐतिहासिक,Historic
हिला,Shake
गढ़,Fortress
सीमांत,Frontier
मेहनत,hard work
जलवायु,Climate
देखभाल,Care
जिनके,Whose
वहीं,There right
श्रृंगार,Makeup
पोशाक,The costume
बिताया,Spent
Ferrell,Ferrell
कठिनाई,Difficulty
उदाहरण,Examples
ब्रिटेन,Britain
फुटबॉल,Football
मैदान,field
घायल,Injured
चली,Ran
अमेरिकन,American
जरूरी,Necessary
रहें,Stay on
ट्रेडमार्क,Trademark
कुश्ती,Wrestling
बेस्ट,Best
खाओ,Eat
फ्रांस,France
भड़ौआ,Parody
सिनेमाई,Cinematic
पाठ,Lesson
कुरोसावा,Kurosawa
बगल,Next
रैक,Rack
मांयता,Motherhood
प्रतीक,Symbol
नजरअंदाज,ignore
खोला,Opened
हूं..,Am ..
गैंगस्टर,Gangster
Scarface,Scarface
भ्रष्टाचार,Corruption
कल्पित,Legend
ड्रीम,Dream
गहरा,Deep
सतही,Surface
तारीख,Date
ईंधन,Fuel
व्यंग्य,the irony
gangsta,gangsta
सकारात्मक,Affirmative
Montana,Montana
निर्देशकीय,Indicative
संभाला,Handled
मैला,Dirty
गुमराह,Astray
डूब,Drowning
समर्थित,Supported
आदत,Habit
अनुरूप,According
आराम,rest
लाइनों,Lines
फार्म,The farm
Pacino,Pacino
कोरलियोन,Corleone
उतारा,Transcript
Pfeiffer,Pfeiffer
सुस्त,Dull
असहज,Uncomfortable
ऊब,Bored
ंयाय,Ocean
खिलाड़ियों,Players
उकताहट,Wick
विवादास्पद,Controversial
सुलभ,Accessible
पॉप,Pop
9/10,9/10
नाते,Relationship
प्रशंसित,Acclaimed
गवाह,Witness
सहन,tolerate
मूवी,movie
छुआ,Touched
Gena,Gena
गिरावट,The fall
सफलता,Success
भूत,Ghost
बचने,To escape
समानांतर,Parallel
puzzling,puzzling
हेरोइन,Heroin
मानवीय,Human
नहीं..,No..
ज़रूर,Of course
बेतुका,Absurd
औसत,Average
दर्जे,Grade
कगार,The brink
फ़्लैश,Flash
बैक,Back
पहाड़,the mountain
तीव्र,Intense
विद्रोही,the rebels
जेसन,Jason
नृशंस,Atrocious
प्रमुखता,Prominence
छपी,Printed
भूखंड,Plot
गंध,Odor
tearjerker,tearjerker
बारीकियों,Nuances
उल्का,Meteor
आकाश,Sky
गिरता,Falls
गड्ढा,Pit
क्षेत्र,Area
आतंकित,Terrified
कंकाल,Skeleton
विज्ञान,Science
भेजने,Send to
स्क्रीनिंग,Screening
गाल,cheek
जीभ,Tongue
दुर्भाग्यपूर्ण,Unfortunate
आकार,Shape
मिश्रण,Mix
फिल्मकार,Filmmaker
निलंबन,Suspension
राक्षसों,Monsters
प्रामाणिक,Authentic
षड्यंत्रपूर्वक,Conspiracy
क्रीक,The creek
डबल,Double
$,$
यानी,i.e
DeNiro,DeNiro
जूनियर,Junior
टर्नर,Turner
विंसेंट,Vincent
डॉन,Don
जादुई,Magical
आविष्कार,Invention
संक्षिप्त,brief
कातिल,Murderer
संचालित,Operated
फैक्टर,Factor
मोम,Wax
द्वितीय,Second
गैरी,Gary
कूपर,Cooper
डोरिस,Doris
दिवस,The day
गॉर्डन,Gordon
Randolph,Randolph
स्कॉट,Scott
Gershwin,Gershwin
कोल,Cove
आपूर्ति,Supply
वायु,Wind
वार्नर,Warner
नौटंकी,Gimmick
ओहियो,Ohio
दंत,Dental
चिकित्सक,The doctor
आधे,Half
पार्संस,Parsons
रेडियो,radio
रियल,Real
लाइफ,Life
रूथ,Ruth
सैनिकों,Soldiers
गाते,Sing
एयर,The air
फिल,Phil
टेक्सास,Texas
रेंजर,Ranger
छवि,The image
मज़ाक,Joke
प्रणाली,system
अनुबंध,The contract
शोक,Mourning
निधन,death
एंटोनियो,Antonio
गोथिक,Gothic
कृति,Work
१९६०,1960
गड्ढे,Pit
१९६१,1961
ग्रेट,The great
अर्जित,Earned
आइकन,Icon
steele,steele
सर्जियो,Sergio
१९६६,1966
मौन,Silence
मामला,matter
लेखिका,The author
मुठभेड़,Encounter
फोस्टर,Foster
रईस,rich
प्रेतवाधित,Haunted
ईव,Eve
लगते,It seems
थोड़ी,A little
करामाती,Enchanting
निवासी,Resident
मुठभेड़ों,Encounters
आतंकियों,Terrorists
भालू,Bear
लेकिन..,but..
बनाएं,Create
दिलकश,Likable
एकजुट,United
मार्गरेट,Margaret
संक्षेप,Summarized
वायुमंडलीय,Atmospheric
आर्केस्ट्रा,Orchestra
डैनियल,Daniel
पीड़ित,the victim
दौरा,Tour
स्कूल,school
कठोर,Rigid
सर्दियों,The winter
Stig,Stig
बजानेवालों,Playwright
ब्याज,Interest
बुला,Call
लीना,Lina
छाप,Impression
जाएगी,Will go
उनमें,In those
पंचमेल,Hotmail
सदस्य,Member
गायकों,Singers
प्रदर्शनों,Demonstrations
रोशनी,light
पढ़ना,To read
गोलीबारी,Firing
ऑस्ट्रिया,Austria
सुनने,Listening
Kay,Kay
Pollak,Pollak
अपील,Appeal
स्टीफन,Stephen
संगीतकार,the musician
ड्रैगन,Dragon
प्रभु,Lord
चरवाहा,Shepherd
सादा,Plain
चमत्कार,Miracle
सुनो,listen
धनी,The rich
गतिविधियों,Activities
बालसदृश,Boyish
प्रतिस्पर्धा,Competition
idiotically,idiotically
प्राचीन,Ancient
वस्तुओं,The objects
बचाने,To save
दबाना,to suppress
टकराव,Confrontation
अड़चन,Hitch
टीम,Team
ताना,Warp
उंमाद,Ego
भूखंडों,Plots
क्षमा,Pardon
कार्टर,Carter
गाड़ी,The cart
पैकिंग,Packing
रखना,keep
जेट,The jet
प्रयोजनों,For purposes
बढ़ाया,Enhanced
अमेरिकियों,The Americans
कृतियों,Creations
किंवदंती,Legend
करेगा,Will do
जनजाति,The tribe
तीसरे,The third
बढ़ी,Enhanced
comers,comers
बिल,Bill
तेरी,your
अवधारणा,The concept
रन,Run
ढांचे,Framework
रेखीय,Linear
हृदय,heart
प्रत्यारोपण,Implantation
जापान,Japan
डेनिस,Dennis
रूपरेखा,Outline
पशु,Animal
कनेक्ट,Connect
निरीक्षण,inspection
एकीकृत,Integrated
प्रक्रिया,process
मेकिंग,Making
उत्पाद,the product
वैचारिक,Conceptual
पीढ़ी,Generation
ग्रेडी,Grady
वीणा,Harp
रोगियों,The patients
देगा,Will give
पूल,The pool
उग्र,Fierce
टूटने,Breakdown
हमले,The attack
आक्रामकता,Aggressiveness
फूहड़,Slap
रानी,Queen
कोर्बिन,Corbin
Bernsen,Bernsen
निर्दयता,Ruthlessness
दांत,Teeth
बताते,Explains
साइट,The site
रातों,Nights
एलेक्जेंडर,Alexander
नितंब,Buttocks
मैरी,Mary
नामक,Named
खुदरा,Retail
एलेक्स,Alex
Gilberte,Gilberte
दुर्व्यवहार,Misbehavior
उठाने,Lifting
संयोग,a coincidence
नर्स,Nurse
अप्सरा,Elf
वेरोनिका,Veronica
हड़ताल,Strike
बूट,Boot
मान,Values
मामन,Maman
एट,Et
Eustache,Eustache
Françoise,Françoise
Lebrun,Lebrun
वेश्या,Whore
माँ,mother
उपदेश,preaching
नाट्य,Theatrical
विलाप,Moan
उद्धरण,Quote
Léaud,Léaud
7/10,7/10
एमिल,Emil
अरडोलिनो,Ardolino
शेफर्ड,Shepherd
चांदनी,Moonlight
कितने,How many
मेजर,Major
चिथड़े,Patchwork
pining,pining
विधवा,widow
स्टुअर्ट,Stuart
Masterson,Masterson
हरी,Green
चोटी,Peak
कृपा,Please
डाउनी,Downie
रयान,Ryan
डांस,Dance
जलती,Burning
निर्णय,Decision
उपयोगकर्ता,the user
उदात्त,Noble
पेरी,Perry
कहां,Where
नौ,Nine
आश्चर्यचकित,Surprised
सैंय,Sai
बलिदान,Sacrifice
संचार,Communications
हेलेना,Helena
इसमें,in this
लास,Las
वेगास,Vegas
बनना,to become
रोमांच,Adventures
Arkin,Arkin
कहीं,somewhere
वुडी,Woody
मेल,similarity
ब्रूक्स,Brooks
मूलतः,Basically
मुस्कराते,Beams
झाड़,Chandelier
चौथी,The fourth
हत्यारे,The killer
सौदों,Deals
प्रोफेसर,Professor
अवसाद,Depression
इगोर,Igor
रिटर्न,Return
मरा,Dead
घंटी,Bell
खोया,Lost
aforementioned,aforementioned
कश्मीर,Kashmir
उनका,Their
निडर,fearless
पेश,Present
सहयोगी,Associate
बेरोजगार,Unemployed
वेश,Vest
पारित,Passed
एंजेला,Angela
शेख़ी,Rant
मानसिकता,Mentality
स्टॉक,stock
रिक,Rick
असहाय,Helpless
सिवाय,Except
विलक्षण,Fantastic
खींचने,To pull
अस्पष्टता,Ambiguity
गिरा,Dropped
वृत्तचित्र,Documentary
२००४,2004
घड़ी,The clock
विकार,Disorder
भावुक,Passionate
Jonny,Jonny
कैनेडी,Kennedy
मुखर,Vocal
३६,36
शरारती,naughty
ताबूत,Coffin
तथ्यात्मक,Factual
महानतम,the greatest
सिनात्रा,Sinatra
मार्लन,Mallan
Brando,Brando
इच्छाओं,Wishes
1950,1950
गाने,Songs
पलक,eyelid
ilk,Ik
क्लिक,Click
कैमरा,The camera
बैठना,Sit
14,14
मेजबानी,hosting
हजार,Thousand
मिशन,Mission
सड़कों,The roads
नर्तकों,Dancers
संतुलन,The balance
तारे,The stars
विधि,Method
बक,The bank
वॉइट,Wight
छोड़ने,To leave
पूछ,Ask
अपमानजनक,Offensive
साहस,courage
डस्टिन,Dustin
बेघर,Homeless
दिखने,To look
निंदा,Condemnation
इमारत,The building
विगनेट्स,Vignettes
दुर्दशा,Bad luck
कटौती,Deduction
एनी,Annie
नमक,Salt
परित्याग,Abandonment
असफल,Unsuccessful
दादी,grandmother
ऊधम,Hustle
दुरुपयोग,Misuse
भ्रामक,Misleading
फूल,flower
हावी,Dominate
लिंग,Gender
तानाशाही,Dictatorship
रसोई,Kitchen
चाहती,Want
छवियों,Images
प्रचलित,Prevalent
संमानजनक,Honorable
मायावी,Elusive
बडी,Big
फ्लोरिडा,Florida
बेताब,Desperate
जल,water
चोंच,Beak
भूमिगत,Underground
लाइट,light
मरने,To die
विनंर,Winner
कपटी,Insidious
कीमतों,Prices
amateurish,amateurish
एडवर्ड,Edward
आसानी,Ease
नौका,Boats
अंडरवियर,Underwear
risqué,risqué
है-शायद,Is probably
प्रधानमंत्री,Prime minister
प्रकरणों,Episodes
कथानक,Plot
रॉय,Roy
उप,Sub
लाइनर,Liner
१९८८,1988
रोनी,Ronnie
१९८६,1986
गुलाब,Rose
अब्राहम,Abraham
दर्पण,Mirror
दाढ़ी,Beard
उपाध्यक्ष,Vice president
गुमनामी,Anonymity
प्रसारण,Broadcasting
काश,Hopefully
btw,btw
कोमा,Coma
तामसिक,Tamsic
हत्याओं,The killings
मग्न,Immersed
चेहरों,Faces
रोब,Rob
Laputa,Laputa
पूर्ववर्ती,Previous
Nausicaa,Nausicaa
मियाज़ाकी,Miyazaki
पूर्णता,Perfection
आच्छादित,Over cover
एनिमेशन,Animation
लीग,League
anime,anime
समुद्री,Marine
नेता,leader
डब,Dub
Cloris,Cloris
Leachman,Leachman
उठाई,Pointed out
बरी,Bury
गुंजाइश,request
निगल,Swallow
खींचें,Drag
अपेक्षाकृत,Relatively
टुकड़े,The pieces
संतोषजनक,Satisfactory
चिंतित,Worried
संभावित,Potential
समझते,Understand
सख्त,Strict
BTW,BTW
क्रम,The order
popping,popping
लोमड़ी,Fox
स्विट्जरलैंड,Switzerland
बहनों,Sisters
संगठनों,Organizations
मिलान,Matching
रवाना,Off
गोरा,blonde
रोकने,To stop
कीमती,Precious
शराबी,drunker
धक्का,Push
खुदाई,Digging
क्रश,The crush
किराया,Rent
है-लेकिन,Is-but
सपेरे,Snake charmer
बटन,switch
पैसा,Money
गाती,Sings
Pimlico,Pimlico
समुदाय,Community
बम,bomb
आर,R
स्टेनली,Stanley
सोचना,Think
उत्पादकों,Growers
अधिकार,Rights
जर्मन,German
सीसा,Lead
Metschurat,Metschurat
कंधों,Shoulders
जर्मनी,Germany
इस्पात,Steel
श्रम,Labour
भाइयों,The brothers
प्रतिद्वंद्विता,Rivalry
तटस्थ,Neutral
गठित,Constituted
कहती,Says
s,s
फुलर,Fuller
देशों,The countries
तुर्की,Turkish
विश्वसनीयता,Reliability
उपाय,Solution
उधार,Borrowing
केक,cake
मास्टर,master
शीत,Cold
परिवहन,transportation
सर्वोच्च,Top
Strangelove,Strangelove
विपक्ष,Opposition
कॉम,com
जनरल,The general
आनुवंशिक,Genetic
खतरों,The dangers
रोबोट,Robot
मुद्दे,Issues
चिल्लाती,Scream
४५,45
निंनलिखित,The following
प्रशांत,Pacific
अटलांटिक,the Atlantic
सोवियत,Soviet
संघ,Union
प्रकोप,the outbreak
नाजियों,The Nazis
वृद्धि,Growth
फिटिंग,Fitting
मिनी,Mini
जेरेमी,Jeremy
इसहाक,Isaac
१९६९,196 9
उपज,Yield
लारेंस,Laurence
सुनाई,Heard
नागरिकों,Citizens
खातों,Accounts
अधिकारियों,The officials
अल्बर्ट,Albert
कार्ल,Karl
जिमी,Jimmy
लॉर्ड,Lord
फुफकार,Huff
आर्थर,Arthur
जंग,rust
सहयोगियों,the allies
निष्पादन,Performance
साक्षी,witness
माना,agreed
२०००,2000
उद्योग,Industry
पेशेवरों,Professionals
वें,Th
शेष,remainder
१९९८,1998
आक्रोश,Anger
भारत,India
व्यावसायिक,Professional
आवश्यकताओं,Requirements
बॉलीवुड,Bollywood
बैनर,Banner
हीरो,hero
अंतरात्मा,Conscience
धैर्य,Patience
दिलाने,To unleash
नायिका,The heroine
पेड़,The trees
झाड़ी,Shrub
बेरहमी,Ruthlessness
छत,roof
किरदार,Character
निभाया,Played
पुलिसवाले,Policeman
समायोजित,Well Adjust
गुस्सा,anger
हिस्से,The parts
डीलरों,Dealers
चिपके,Sticking
प्रस्थान,Departure
पकड़ता,Catches
बख्शी,Bakshi
कॉपी,Copy
भड़काती,Inflammation
नस्लीय,Racial
ओवेन,Owen
उद्यम,Enterprise
५००,500
dehumanising,dehumanising
कमांडिंग,Commanding
आपसी,Mutual
आरक्षित,Reserved
जायज,Justified
प्रशिक्षित,Trained
आमतौर,Usually
कोकी,Koki
असंतुष्ट,Dissatisfied
खाते,Accounts
कॉलिन,Colin
Farrell,Farrell
सहमति,Agreement
जागरूकता,Awareness
Kubrick,Kubrick
धातु,Metal
चौंका,Startled
मौलिकता,Originality
शहरों,Cities
नाविकों,Sailors
परिणामों,The results
युवती,young woman
पंथ,The creed
हथौड़ा,Hammer
गार्जियन,Guardian
बर्लिन,Berlin
महोत्सव,The festival
सैली,Sally
बधाई,Congratulations
घसीटा,Dragged
नीना,Nina
खोलता,Opens
बेल,Bell
पूर्ति,Supply
जड़ें,Roots
लगती,It seems
टाइटल,Title
दिखते,Look like
बरकरार,Kept
कल्पनाओं,Fantasies
सुपरमार्केट,Supermarket
बीत,Past
चुका,Mistakes
ब्लेड,Blade
गोद,Lap
खाली,Down
पति,husband
मोहभंग,Disillusionment
परमात्मा,Divine
अनिश्चित,Indefinite
वैलेरी,Valerie
युगल,Couple
चलाते,Run
ग्रहण,Eclipse
एजेंसी,Agency
छुट्टी,holiday
Leslie,Leslie
नीलसन,Nielsen
अनाथालय,Orphanage
कारोबार,Business
जोड़ों,Joints
दुविधा,Dilemma
किराये,Rental
केली,Kelly
अस्थाई,Temporary
मौली,Molly
कार्यवाहक,Caretaker
पारिवारिक,Family safe
डीलर,The dealer
लॉयड,Lloyd
तेज़,Fast
दिखाना,To show
गारंटी,Guarantee
जबरदस्त,Tremendous
वितरित,Distributed
जूलियन,Julian
मैन,Man
कॉर्पोरेट,Corporate
माहिर,The master
बोध,Perception
स्थाई,Permanent
मैक्सिकन,Mexican
Kinnear,Kinnear
हार,Necklace
चाक,The wheel
प्रस्ताव,Offer
लॉरेल,Laurel
हार्डी,Hardy
निशाना,The target
माफी,Forgiveness
मांगता,Demand
परम,The ultimate
चहेता,Favorite
खुलकर,Openly
बोला,spoke
बकवास,Rubbish
परिचित,Familiar
बांड,Bond
प्रबंध,Management
काली,Black
जंमदिन,Jamdin
डेविस,Davis
कक्ष,The room
पहुंच,the access
स्टाइलिश,Stylish
परिभाषित,Defined
अनदेखी,Ignore
जितनी,As much as
सके,Could
फ्रेड,Fred
लोम्बार्ड,Lombard
मेज,The table
राजकुमारी,Princess
कारटून,Cartoon
ब्रॉडवे,Broadway
Carole,Carole
Stanwyck,Stanwyck
शुरुआती,Beginners
कैरोल,Carroll
तारांकित,Starred
बेट्टी,Betty
Grable,Grable
vinyl,vinyl
एल्बम,The album
अल,al
नाइट,Knight
जाज,Jazz
डोरोथी,Dorothy
लैटिन,Latin
नोट,note
क्विन,Quinn
ऊंची,High
स्विंग,Swing
रोनाल्ड,Ronald
रहती,Lived
स्वांग,Farce
बहु,Multi
शौकीन,Fond
तेजस्वी,Bright
कान,ear
विक्टोरियन,Victorian
क्रिसमस,Christmas
डिकेंस,Dickens
स्थापना,Establishment
प्रथम,First
श्रेणी,category
रिकॉर्डिंग,Recording
Happenstance,Happenstance
चैट,Chat
ऑड्रे,Audrey
एमिली,Emily
उपयुक्त,Suitable
Le,Le
du,du
तितली,butterfly
धड़कन,Beating
जातीय,Ethnic
लटका,Hang
मेट्रो,Metro
उपशीर्षक,sub headline
परिचारिका,Nurse
डॉली,Dolly
है-वह,He is
Elvira,Elvira
आलू,potato
मजे,Have fun
टिप्पणियां,Comments
विचलित,Distracted
चढ़ाई,The climb
औचित्य,Justification
सेवा,Service
मजबूरी,helplessness
उंहोंने,Fingered
चिढ़,Irritability
कुकी,Cookie
Whoopi,Whoopi
गोल्डबर्ग,Goldberg
चरमोत्कर्ष,Climax
कॉलेज,College
विज्ञप्ति,Release
उपसंहार,Epilogue
राहत,relief
परियोजना,The project
उपनगरों,Suburbs
बास्केटबॉल,Basketball
स्नातक,graduate
हटना,To shrink
उंमीदों,Ummedo
लड़ो,Fight
प्रथाओं,The practices
लो,Take
सूचीबद्ध,Listed
फिट,Fit
ठंडे,Cold
ब्लेक,Blake
चर,The variable
अपरिपक्व,Immature
खींचा,Drawn
ग्रामीण,Rural
कैनसस,Kansas
दर्शाया,Portrayed
किसानों,The farmers
नकदी,The cash
मिथक,Myths
१०,10
बुद्धिमानी,Intelligence
चुनता,Chooses
भीषण,Gruesome
प्रवर्तन,Enforcement
आसंन,Adhesion
संमोहक,Hypnotic
जलन,jealousy
पकड़े,To catch
टूटता,Breaks
बेहोश,unconscious
सबूत,evidence
आदमियों,The men
घृणा,Disgust
मिनटों,Minutes
बातों,Things
नासमझ,Goofy
अतिरंजित,Exaggerated
उलट,The opposite
गौण,Accessory
तैनात,Deployed
कार्गो,Cargo
ट्रक,The truck
दर,rate
परीक्षा,exam
चलती,Moving
पुलिसकर्मी,Policeman
फ्रांज,Franz
Dickinson,Dickinson
25,25
नजदीक,Near
पिक्चर,Picture
एर,Er
नग्न,Naked
अपरिचित,Unfamiliar
शोध,Search
किसने,Who
अनोखी,Unique
गतिशील,Moving
टैंक,Tanks
खोल,The shell
शिकायतें,Complaints
कूदता,Jumps
हेलीकाप्टर,Helicopter
दिखावट,Appearance
प्वाइंट,Point
प्रिंट,Print
पेरिस,Paris
जिला,District
दुर्घटनाग्रस्त,Crashed
बोर,Bore
वर्गीकृत,Classified
लॉस,Los
एंजिल्स,Anglese
Antonioni,Antonioni
डिजाइनर,The designer
यश,Fame
बहाल,resumed
मानकों,Standards
Frechette,Frechette
छात्र,student
दंगा,riot
शेयर,share
विकृत,Perverted
अनुपात,Ratio
विमान,Aeroplane
उड़ान,The flight
नीले,Blue
असमान,Unequal
चाकू,Knife
किरायेदार,Tenant
Polanski,Polanski
गिना,Count
रनिंग,Running
व्यामोह,Paranoia
संकोच,Hesitation
असहनीय,Unmanageable
पेशकश,Offer
पड़,Fall
निर्वासित,exiled
भेदभाव,discrimination
खातिर,For sake of
हैरत,Surprise
बनाते,Make
इसाबेल,Isabel
डगलस,Douglas
शेली,Shelley
ढेर,Pile
परंपराओं,Traditions
मिंग,Ming
व्यापारी,Businessman
पत्र,Letter
मृत्यु,The death
जनता,public
परंपरा,The tradition
झांग,Zhang
बैठता,Sits
संरक्षण,protection
छड़ी,The rod
भूलना,To forget
दक्षिण,South
पार्क,Park
रचनाकारों,The creators
कारक,Factor
बाएं,Left
लुईस,Louis
क्रिस्टी,Christie
ब्राउन,Brown
अंधकार,Blackout
अंग,Organ
कविता,poem
लाना,bring
जिम,Gym
सहयोग,help
बॉक्सर,Boxer
अनावश्यक,Unnecessary
डेनियल,Daniel
Sullavan,Sullavan
उपहार,Gifts
कलम,Pen
मासूमियत,Innocence
क्यू,Why
पत्ते,Leaves
क्लेन,Klein
वाल्टर्स,Walters
अनूठी,Unique
प्रोत्साहित,Encouraged
शिक्षक,teacher
कट्टर,Hardcore
कैथरीन,Catherine
मंगेतर,fiance
नैदानिक,Clinical
है-नहीं,Is not
लेबल,the label
परिहास,Jest
थीं,Was
पेज,Page
चांद,The moon
लटक,Hanging
अनुमान,an estimate
फुलाना,Fluff
जाति,The caste
इकट्ठे,Assembled
रॉबिन,Robin
प्रतिद्वंद्वी,Rival
शोकाकुल,Mournful
पुनरावृत्ति,Repetition
फ्लैट,Flat
Taft,Taft
रेमो,Remo
होली,Holi
पालांस,Palance
मैच,Match
यादृच्छिक,Random
परियों,Fairies
राशि,Zodiac
खास,Special
घोड़ों,The horses
दास,Slave
पर्दे,Curtains
धड़कता,Beats
हंसे,Laughed
कल,Tomorrow
तंग,Tight
एडी,Eddy
मर्फी,Murphy
22,22
स्रोत,The source
चौदह,Fourteen
दलाल,Broker
लिली,Lily
नोटिस,Notice
शाब्दिक,Verbal
सोता,Floss
चिको,Chico
दार्शनिक,Philosophical
इरादा,the intention
गूदा,Pulp
शक्तियां,The powers
वैगन,Wagon
नीत्शे,Nietzsche
दर्शन,visit
जिसकी,Whose
बुजुर्ग,The elderly
इसी,This
हिटलर,Hitler
साक्षर,Literate
n,n
टाल,Toll
लागू,Applicable
सेंट,St.
बहाव,Drift
शाश्वत,Eternal
असहमत,Disagree
बिजली,Lightning
यकीनन,of course
मिशिगन,Michigan
बुरे,Bad
ठोकरें,Stumble
मीरा,Meera
घुड़सवार,Mounted
डालो,Pour
जहाँ,Where
लैंडिंग,Landing
हमला,Attack
आधा,Half
एडंस,Addance
गैजेट,The gadget
वाल्टर,Walter
देखकर,After seeing
पंक्ति,Line
अपराधों,Offenses
खुलता,Open
हावर्ड,Howard
´,'
तूफान,storm
एशियाई,Asian
मामलों,Matters
बढ़िया,Fine
स्तरित,Layered
प्रासंगिक,Relevant
Benkei,Benkei
योद्धा,Warrior
भिक्षु,Monk
दानव,Demon
राजकुमार,Prince
Shanao,Shanao
लक्ष्य,aim
आत्म,The self
सच्चे,True
मौलिक,Original
खुले,Open
बाधा,Obstacle
संभालती,Handles
मापा,Measured
सिंक,Sync
कोहरे,Fog
गंदी,dirty
विचारोत्तेजक,Suggestive
प्रसंग,Context
बर्बरता,Vandalism
घमंड,boasting
दौर,The round
सख्ती,Strictly
कलात्मक,Artistic
व्यक्तियों,The persons
चमकती,Flashing
विरोधियों,Opponents
